Intensity,Wavelength(Ams),Spectrum,Reference
120,2915.49,Ta I,MCS75
30,2916.250,Hg II,SR01
100,2916.251,Ru I,K59
900   P,2916.48,Hf I,MCS75
20,2917.26,Os I,MCS75
600,2917.52,Na II,W71
700,2918.076,B  II,O70
400   P,2918.235,Au II,RW97
140   P,2918.32,Tl I,MCS75
250,2918.58,Hf I,MCS75
600,2919.05,Na II,W71
15,2919.346,Yb II,M67
40,2919.59,Hf II,MCS75
70,2919.79,Os I,MCS75
700,2919.85,Na II,W71
200   s,2920.593,Am II,FT57
700,2920.95,Na II,W71
7,2921.3792,Pt I,SRSA92
20,2921.52,Tl I,MCS75
100,2923.392,Mo II,SPNL01
600,2923.49,Na II,W71
60,2923.619,V  I,DA78
600   P,2924.017,V  II,ICL88
20,2924.02,Rh I,MCS75
400   P,2924.630,V  II,ICL88
250   P,2924.79,Ir I,MCS75
14,2925.04,Eu II,MCS75
150,2925.19,Ta I,MCS75
80,2925.618,Ne II,P71
1000   s,2926.489,Bk II,WC78
80,2926.74,Tm II,MCS75
15   c,2927.42,Re I,MCS75
40   l,2927.534,Am II,FT57
300   P,2927.814,Nb II,RCL00
1000   s,2927.907,Bk II,WC78
100,2928.20,Tc I,BMC67
40,2928.327,Ti I,F91
1000   P,2928.922,Cm II,WHGC76
200,2929.271,Cd II,SP49
60,2929.63,Hf II,MCS75
400   P,2929.7894,Pt I,SRSA92
200,2929.90,Hf I,MCS75
80,2930.502,Mo II,SPNL01
200,2930.805,V  II,ICL88
15,2931.08,Cs II,S81
20,2931.28,Os I,MCS75
120,2931.414,U  II,BW92b
80   w,2932.103,Ne II,P71
60   P,2932.630,In I,P38
120,2932.70,Ta I,MCS75
90   P,2933.054,Mn II,KG00
500,2933.298,Pu II,BFG84
700   P,2933.55,Ta I,MCS75
700   P,2933.602,Pu II,BFG84
60,2934.0209,Ag II,KLLT02
60,2934.298,Mo II,SPNL01
70,2934.64,Ir I,MCS75
80,2935.00,W  I,MCS75
70,2935.99,Tm II,MCS75
150,2936.0846,Th I,PE83
50,2936.68,Ir I,MCS75
120,2936.9033,Fe I,NJLT94
40   l,2936.992,Am II,FT57
500,2937.74,Na II,W71
80,2937.80,Hf II,MCS75
400   P,2938.297,Bi I,WBBF01
2,2938.473,Mg I,KM91a
120   P,2939.308,Mn II,KG00
200,2940.06,Ta I,MCS75
500,2940.22,Ta I,MCS75
9   h,2940.331,Mn I,CMG64
80,2940.653,Ne II,P71
900   P,2940.77,Hf I,MCS75
6   P,2941.050,In II,PC38
250,2941.372,V  II,ICL88
120,2941.499,V  II,ICL88
250,2941.543,Nb II,RCL00
1000   l,2941.713,Bk II,WC78
250,2941.916,U  II,BW92b
90,2942.14,Ta I,MCS75
20,2942.319,V  I,DA78
20,2942.388,V  I,DA78
80,2942.8600,Th II,PE83
70,2942.893,Ar II,N73
8,2943.14,Re I,MCS75
150,2943.15,Ir I,MCS75
20,2943.189,V  I,DA78
600   P,2943.636,Ga I,JL67
150,2943.7288,Th I,PE83
150,2943.896,U  II,BW92b
60,2943.912,Ni I,LBT93
200   P,2944.173,Ga I,JL67
300   P,2944.40,W  I,MCS75
300,2944.569,V  II,ICL88
10,2945.11,He I,M60a
250,2945.67,Ru II,MCS75
8,2945.907,Yb II,M67
90,2946.044,Ne II,P71
300   P,2946.99,W  I,MCS75
25,2947.074,Hg II,SR01
60,2947.39,W  I,MCS75
500,2947.50,Na II,W71
100,2947.8760,Fe I,NJLT94
40   h,2948.23,Os I,MCS75
150,2948.242,Ti I,F91
40,2948.406,Y  I,P77
150   P,2949.205,Mn II,KG00
30,2949.492,Ru I,K59
50,2949.53,Os I,MCS75
20,2949.629,V  I,DA78
100   l,2950.393,Am II,FT57
500,2950.68,Hf I,MCS75
300   P,2950.882,Nb II,RCL00
70,2951.22,Ir I,MCS75
700,2951.24,Na II,W71
"1000   P,l",2951.761,Bk II,WC78
700   P,2951.820,Pu II,BFG84
200,2951.92,Ta I,MCS75
150,2952.068,V  II,ICL88
13,2952.268,W  II,EKM00
600,2952.40,Na II,W71
"3   c,w",2952.68,Eu II,MCS75
130,2953.56,Ta I,MCS75
60,2953.9399,Fe I,NJLT94
500,2954.20,Hf I,MCS75
200,2954.222,Au II,RW97
150,2955.725,Ne II,P71
20,2956.057,Mo II,SPNL01
120,2956.060,U  II,BW92b
200,2956.123,Ti I,F91
1   c,2957.01,In I,P38
250,2958.02,Hf I,MCS75
250,2958.92,Po I,C66a
4,2960.21,Eu II,MCS75
7,2960.7494,Pt I,SRSA92
90,2960.867,Zr I,J98
250,2961.16,Cu I,S48
20,2962.15,Os I,MCS75
30,2962.781,V  I,DA78
150,2963.236,Ne II,P71
250   P,2963.32,Lu II,MCS75
600   P,2963.32,Ta I,MCS75
20,2963.797,Mo II,SPNL01
50,2964.52,W  I,MCS75
140,2964.520,Er II,M64b
700   P,2964.644,Pu II,BFG84
7,2964.755,Yb II,M67
600,2964.88,Hf I,MCS75
40,2964.964,Y  I,P77
13,2965.11,Re I,MCS75
300,2965.13,Ta II,MCS75
50,2965.166,Ru I,K59
300,2965.54,Ta I,MCS75
200,2965.55,Ru II,MCS75
25,2965.76,Re I,MCS75
15,2965.879,Sc I,AV77
200   l,2966.712,Am II,FT57
700,2966.843,Pu II,BFG84
150,2966.8982,Fe I,NJLT94
300,2966.93,Hf I,MCS75
150,2967.184,Ne II,P71
25,2967.225,Ti I,F91
250   P,2967.280,Hg I,BAL50
400,2967.29,Te II,HM64
25,2967.64,Cr I,K53
120,2967.936,U  II,BW92b
150,2968.374,V  II,ICL88
25,2968.66,Rh I,MCS75
80,2968.81,Hf II,MCS75
700   P,2969.035,Pu II,BFG84
1000   l,2969.125,Bk II,WC78
200   l,2969.292,Am II,FT57
130,2969.47,Ta I,MCS75
130,2969.82,Lu II,MCS75
80,2970.0994,Fe I,NJLT94
110   P,2970.564,Yb II,M67
25,2970.97,Os I,MCS75
120,2971.066,U  II,BW92b
25,2971.102,Cr I,K53
11,2971.90,Cr II,K51
500   h,2972.26,Br II,R58
90,2972.29,O  I,HHMR86
700   P,2972.500,Pu II,BFG84
120,2972.571,Nb II,RCL00
20,2972.611,Mo II,SPNL01
100,2972.997,Ne II,P71
25,2973.00,Ho II,MCS75
120,2973.1323,Fe I,NJLT94
50,2973.218,Tm I,SMC73
50,2973.2354,Fe I,NJLT94
50,2974.010,Sc I,AV77
100,2974.094,Nb II,RCL00
50,2974.588,Y  I,P77
30,2974.7189,Ne I,SS04
25,2975.478,Cr I,K53
150,2975.56,Ta I,MCS75
100,2975.88,Hf II,MCS75
200   P,2976.584,Ru II,JJLL94
50,2976.923,Ru I,K59
60,2977.11,W  I,MCS75
600,2977.13,Na II,W71
20,2977.540,V  I,DA78
15,2977.68,Rh I,MCS75
30,2979.050,Ar II,N73
130,2979.32,Xe II,H39
100,2979.461,Ne II,P71
25   c,2979.63,Ho II,MCS75
600,2979.66,Na II,W71
80   d,2979.71,W  I,MCS75
10,2979.73,Cr II,K51
700,2980.227,Pu II,BFG84
500   r,2980.620,Cd I,BA56
600,2980.63,Na II,W71
60,2980.755,Sc I,AV77
20,2980.784,Cr I,K53
500,2980.81,Hf I,MCS75
100   r,2981.362,Cd I,BA56
60,2981.4451,Fe I,NJLT94
60,2981.48,Tm II,MCS75
70,2981.646,Ni I,LBT93
30,2982.6696,Ne I,SS04
20,2982.90,Os I,MCS75
100,2983.5696,Fe I,NJLT94
11,2983.990,Yb II,M67
700,2984.19,Na II,W71
80,2984.254,Y  I,P77
250,2985.388,Zr I,J98
25,2985.849,Cr I,K53
80,2986.01,Cr I,K53
50,2986.20,Rh I,MCS75
100,2986.466,Cr I,K53
200   s,2987.238,Am II,FT57
25,2987.64,Ho II,MCS75
150,2987.645,Si I,RA65
1000   l,2987.755,Bk II,WC78
90,2988.2318,Th II,PE83
30,2988.638,Cr I,K53
130,2988.945,Ru I,K59
15,2988.965,Sc I,AV77
300   P,2989.019,Bi I,GMV85
250,2989.27,Lu I,MCS75
200   h,2990.268,Au II,RW97
100,2990.278,Nb II,RCL00
70,2990.54,Tm II,MCS75
5,2991.33,Eu II,MCS75
60,2991.4665,Pt II,SRSA92
25,2991.877,Cr I,K53
,2992.12,K  I,R56
,2992.22,K  I,R56
30,2992.36,Re I,MCS75
60,2992.592,Ni I,LBT93
400   h,2992.618,C  II,MG93
80   P,2993.336,Bi I,GMV85
100   l,2993.508,Am II,FT57
50,2993.61,W  I,MCS75
700,2994.046,Pu II,BFG84
12,2994.06,Cr I,K53
130,2994.17,Ac II,MFT57
100,2994.4268,Fe I,NJLT94
120,2994.453,Ni I,LBT93
140,2994.728,Nb II,RCL00
400   P,2994.800,Au II,RW97
9,2994.805,Yb II,M67
40,2994.967,Ru I,K59
15,2995.094,Cr I,K53
1000,2996.180,Cm II,WHGC76
700,2996.406,Pu II,BFG84
40,2996.571,Cr I,K53
"600   P,c",2997.9622,Pt I,SRSA92
10,2998.783,Cr I,K53
140,2999.04,Gd II,MCS75
1000,2999.385,Cm I,WHGC76
50,2999.5117,Fe I,NJLT94
100   P,2999.60,Re I,MCS75
700,3000.572,Pu II,BW92b
60,3000.88,Cr I,K53
80,3000.9478,Fe I,NJLT94
150,3001.668,Ne II,P71
40,3002.2641,Pt I,SRSA92
110,3002.407,Er II,M64b
500   P,3002.485,Ni I,LBT93
"1000   P,w",3003.21,Po I,C66a
250,3003.621,Ni I,LBT93
40,3003.63,Ir I,MCS75
300,3004.15,Na II,W71
200   s,3004.250,Am II,FT57
40,3005.06,Cr I,K53
400,3005.56,Hf I,MCS75
15,3005.766,Yb II,M67
40,3006.588,Ru I,K59
400,3007.44,Na II,W71
50,3008.1382,Fe I,NJLT94
500   P,3009.133,Sn I,B64
400,3009.14,Na II,W71
6,3009.392,Yb II,M67
250,3010.13,Gd II,MCS75
300   l,3011.10,Pa II,BW92b
250,3011.743,Zr I,J98
500   P,3012.001,Ni I,LBT93
800   P,3012.54,Ta II,MCS75
130,3012.90,Hf II,MCS75
40,3013.7,He I,BDD72
40,3013.72,Cr I,K53
40,3014.756,Cr I,K53
1000   b,3014.867,Cm II,WHGC76
70,3014.932,Cr I,K53
40,3015.197,Cr I,K53
150,3015.30,Tm II,MCS75
90,3015.367,Sc I,AV77
300,3015.40,Na II,W71
9,3016.02,Re I,MCS75
100   c,3016.387,Pb II,WRSH74
60,3016.47,W  I,MCS75
250,3016.78,Hf I,MCS75
130,3016.94,Hf II,MCS75
20,3017.25,Os I,MCS75
120,3017.311,Ne II,P71
30   h,3017.43,Xe II,H39
90,3017.44,W  I,MCS75
9,3017.560,Yb II,M67
140,3017.591,Cr I,K53
150   P,3018.04,Os I,MCS75
400,3018.31,Hf I,MCS75
20,3018.492,Cr I,K53
12,3018.827,Cr I,K53
40,3019.143,Ni I,LBT93
120,3019.349,Sc I,AV77
40,3020.01,Fe II,C74
50,3020.4907,Fe I,NJLT94
500,3020.53,Hf I,MCS75
150   P,3020.54,Lu II,MCS75
150,3020.6389,Fe I,NJLT94
20,3020.671,Cr I,K53
60,3021.0728,Fe I,NJLT94
70,3021.498,Hg I,BAL50
140,3021.576,Cr I,K53
130,3022.210,U  II,BW92b
50,3024.0327,Fe I,NJLT94
60,3024.359,Cr I,K53
300   P,3024.621,Bi I,GMV85
50,3025.8423,Fe I,NJLT94
9,3026.669,Yb II,M67
300   P,3027.016,Ne II,P71
110   d,3027.48,Ta I,MCS75
200,3027.60,Gd II,MCS75
100   s,3027.990,Am II,FT57
90,3028.038,Zr II,J98
110,3028.440,Nb II,RCL00
300   P,3028.864,Ne II,P71
20*,3029.121,Li II,HM59
20*,3029.136,Li II,HM59
8,3029.165,Cr I,K53
30   P,3029.204,Au I,ED71
250,3029.515,Zr I,J98
200   r,3029.809,Sb I,SM02
700,3029.924,Pu II,BFG84
40,3030.25,Cr I,K53
7,3030.45,Re I,MCS75
40,3030.70,Os I,MCS75
15,3030.759,Sc I,AV77
100,3030.787,Ne II,P71
50,3031.110,Yb II,M67
50,3031.16,Hf II,MCS75
7,3031.346,Cr I,K53
130,3031.987,U  II,BW92b
140,3032.778,Sn I,B64
250,3032.84,Gd II,MCS75
15,3033.508,Ar II,N73
300   s,3033.59,Pa II,BW92b
200,3034.05,Gd II,MCS75
90,3034.0654,Th II,PE83
600   P,3034.115,Sn I,B64
20,3034.191,Cr I,K53
120,3034.461,Ne II,P71
,3034.76,K  I,R56
,3034.92,K  I,R56
100,3035.923,Ne II,P71
250,3036.10,Cu I,S48
20,3036.4425,Pt I,SRSA92
30,3037.049,Cr I,K53
80,3037.3887,Fe I,NJLT94
100,3037.720,Ne II,P71
200,3037.932,Ni I,LBT93
30,3038.288,Dy II,NG00
100   l,3038.363,Am II,FT57
300   P,3039.067,Ge I,AM59
400   P,3039.356,In I,P38
100,3039.586,Ne II,P71
30,3040.837,Cr I,K53
100,3040.90,Os I,MCS75
10,3041.699,Mo I,WB88
50   d,3041.73,W  I,MCS75
"800   P,c",3042.6318,Pt I,SRSA92
15,3042.74,Os II,MCS75
20,3043.119,V  I,DA78
300,3043.30,Ac II,MFT57
20,3043.548,V  I,DA78
150,3044.005,Co I,PT96
100,3044.088,Ne II,P71
12,3044.566,Mn I,CMG64
1000   P,3044.848,Cm II,WHGC76
20,3044.933,V  I,DA78
20,3045.363,Y  I,P77
100,3045.556,Ne II,P71
50,3046.44,W  I,MCS75
400,3047.00,Te II,HM64
120,3047.556,Ne II,P71
80,3047.6045,Fe I,NJLT94
100,3049.0924,Th II,PE83
30   c,3049.38,Ho II,MCS75
200,3049.56,Ta I,MCS75
90,3049.69,W  I,MCS75
40,3050.073,Al I,KM91b
120,3050.197,U  II,BW92b
300,3050.76,Hf I,MCS75
400   P,3050.816,Ni I,LBT93
11,3051.36,Rb II,R75
15   h,3053.184,Si II,S61b
40,3053.653,V  I,DA78
500,3053.67,Na II,W71
40   s,3053.688,Am II,FT57
40,3053.87,Cr I,K53
25   c,3054.00,Ho II,MCS75
200,3054.312,Ni I,LBT93
100,3054.345,Ne II,P71
9,3054.362,Mn I,CMG64
100,3054.677,Ne II,P71
120,3054.833,Zr II,J98
"5   c,w",3054.94,Eu II,MCS75
600,3056.16,Na II,W71
100,3056.334,V  I,DA78
120,3056.72,Lu II,MCS75
500,3057.02,Hf I,MCS75
50,3057.144,Al I,KM91b
30,3057.3907,Ne I,SS04
60,3057.4458,Fe I,NJLT94
30   c,3057.45,Ho II,MCS75
250,3057.639,Ni I,LBT93
130,3057.939,U  II,BW92b
300   P,3058.66,Os I,MCS75
11,3058.975,Eu I,ST76
100,3059.0857,Fe I,NJLT94
100,3059.106,Ne II,P71
400,3060.25,Na II,W71
120,3060.456,V  I,DA78
400,3061.35,Na II,W71
20,3062.19,Os I,MCS75
100,3062.491,Ne II,P71
130,3062.537,U  II,BW92b
200,3063.008,Ce II,C73
100,3063.301,Ne II,P71
250,3063.41,Cu I,S48
30,3064.274,Mo I,WB88
60,3064.618,Ni I,LBT93
"1000   P,c",3064.7110,Pt I,SRSA92
40,3064.834,Ru I,K59
6,3065.040,Yb II,M67
20,3065.04,Mo II,MCS75
100   l,3065.40,Es,WLGC74
25,3065.424,Au I,ED71
110   d,3066.229,Ti II,HJLW82
200,3066.374,V  I,DA78
250,3067.021,Ge I,AM59
30,3067.40,Re I,MCS75
400,3067.41,Hf I,MCS75
"1000   P,c",3067.700,Bi I,WBBF01
110,3067.7294,Th II,PE83
110,3068.64,Gd II,MCS75
90,3068.89,Ir I,MCS75
200,3069.24,Ta I,MCS75
130,3069.36,Ac II,MFT57
6,3069.94,Re I,MCS75
100,3070.887,Ne II,P71
300   l,3071.24,Pa II,BW92b
100,3071.529,Ne II,P71
30   P,3071.584,Ba I,KL99
20,3071.9336,Pt I,SRSA92
90,3072.1150,Th II,PE83
50,3072.117,Ti II,HJLW82
300,3072.41,Pm II,RCWM80
50,3072.53,Er II,M64b
120,3072.783,U  II,BW92b
1000   P,3072.88,Hf I,MCS75
90,3072.986,Ti II,HJLW82
70,3073.08,Tm II,MCS75
60,3073.344,Er II,M64b
30,3074.369,Mo I,WB88
110,3074.79,Hf I,MCS75
130,3075.231,Ti II,HJLW82
100,3075.731,Ne II,P71
60   P,3075.8971,Zn I,GL00
120,3076.865,Nb II,RCL00
70,3076.92,Gd II,MCS75
140,3077.24,Ta I,MCS75
4,3077.36,Eu II,MCS75
400   P,3077.60,Lu II,MCS75
40,3077.72,Os I,MCS75
200   P,3078.651,Ti II,HJLW82
250,3078.75,I  II,MC60
150,3078.8280,Th II,PE83
120,3078.905,Tb II,B01
110,3080.2170,Th II,PE83
50,3080.752,Ni I,LBT93
200,3080.84,Hf I,MCS75
40,3081.121,Tm I,SMC73
"700   P,h",3081.47,Lu I,MCS75
250,3081.99,Gd II,MCS75
70,3082.083,Er II,M64b
500   P,3082.153,Al I,KM91b
30   c,3082.34,Ho II,MCS75
10,3082.43,Re I,MCS75
20,3083.96,Rh I,MCS75
60,3084.020,Er II,M64b
60,3084.36,Ho II,MCS75
30,3085.616,Mo I,WB88
25   c,3086.54,Ho II,MCS75
20,3087.62,Mo II,MCS75
300   P,3088.042,Ti II,HJLW82
120,3088.166,Ne II,P71
6,3089.102,Yb II,M67
3,3091.065,Mg I,KM91a
700   P,3091.570,Tl II,JKBL96
100,3092.092,Ne II,P71
800   P,3092.710,Al I,KM91b
600   P,3092.73,Na II,W71
200   P,3092.839,Al I,KM91b
120,3092.901,Ne II,P71
4,3092.984,Mg I,KM91a
120,3093.005,U  II,BW92b
1000   P,3093.102,V  II,ICL88
300   l,3093.23,Pa II,BW92b
15,3093.402,Ar II,N73
100,3094.006,Ne II,P71
500   P,3094.176,Nb II,RCL00
400,3094.45,Na II,W71
20,3094.663,Mo I,WB88
100,3095.103,Ne II,P71
400,3095.55,Na II,W71
30,3096.565,Ru I,K59
110,3096.8104,Pt II,SRSA92
2,3096.890,Mg I,KM91a
100,3097.131,Ne II,P71
80,3098.60,Tm II,MCS75
100,3099.10,Tc I,BMC67
80,3099.284,Ru I,K59
25,3100.0252,Pt I,SRSA92
30,3100.29,Ir I,MCS75
30,3100.45,Ir I,MCS75
400,3100.50,Gd II,MCS75
13,3100.67,Re I,MCS75
70,3100.836,Ru I,K59
20,3101.344,Mo I,WB88
40,3101.40,Hf II,MCS75
300   P,3101.557,Ni I,LBT93
150,3101.79,K  I,R56
150,3101.878,Ni I,LBT93
120,3102.04,K  I,R56
800   P,3102.292,V  II,ICL88
120,3102.422,U  II,BW92b
70,3102.55,Gd II,MCS75
200,3103.25,Ta I,MCS75
200,3105.00,K  II,D26
30,3106.162,Eu I,ST76
120,3106.576,Zr II,J98
9,3107.902,Yb II,M67
120,3108.2968,Th II,PE83
200,3108.60,Cu I,S48
13,3108.81,Re I,MCS75
80,3109.12,Hf II,MCS75
20,3109.38,Os I,MCS75
1000   P,3109.690,Cm I,WHGC76
700   P,3110.709,V  II,ICL88
90   P,3111.427,Eu I,ST76
200,3111.618,U  II,BW92b
50,3112.119,Mo I,WB88
130,3112.83,Ac II,MFT57
100,3114.0380,Pd I,ELLW98
150,3116.2630,Th I,PE83
1000   P,3116.411,Cm I,WHGC76
11,3117.806,Yb II,M67
100,3117.980,Ne II,P71
120,3118.160,Ne II,P71
500   P,3118.376,V  II,ICL88
400   P,3118.43,Lu I,MCS75
50,3118.50,Ho II,MCS75
13,3118.64,Cr II,K51
120,3119.5262,Th II,PE83
90,3119.723,Ti I,F91
25,3120.36,Cr II,K51
400   s,3120.486,Am II,FT57
100,3120.746,Zr I,J98
100,3121.87,Xe II,H39
20,3122.00,Mo II,MCS75
70,3122.64,Tc I,BMC67
70,3122.722,Er II,M64b
150   P,3122.784,Au I,ED71
120,3122.9634,Th II,PE83
25,3123.073,Ti I,F91
25,3123.70,Rh I,MCS75
90,3124.3874,Th II,PE83
900,3124.42,Na II,W71
25,3124.94,Cr II,K51
140,3124.952,U  II,BW92b
150,3124.97,Ta I,MCS75
400   P,3125.282,V  II,ICL88
110,3125.5071,Th II,PE83
90,3125.668,Hg I,BAL50
300   l,3126.23,Pa II,BW92b
8,3128.94,Re I,MCS75
90,3129.173,Zr II,J98
90,3129.760,Zr II,J98
140,3130.272,V  II,ICL88
1000   P,3130.4219,Be II,BWWI85
150,3130.58,Ta I,MCS75
500   P,3130.782,Nb II,RCL00
600   P,3131.0667,Be II,BWWI85
150,3131.23,Tc I,BMC67
800   P,3131.26,Tm II,MCS75
80,3131.548,Hg I,BAL50
300,3131.81,Hf I,MCS75
80,3131.839,Hg I,BAL50
30,3132.05,Cr II,K51
100,3132.060,Zr I,J98
500   P,3132.594,Mo I,WB88
100,3132.64,Ta I,MCS75
100,3133.167,Cd I,BA56
200,3133.32,Ir I,MCS75
110,3133.339,V  II,ICL88
250,3133.89,Tm II,MCS75
400   P,3134.104,Ni I,LBT93
400   P,3134.720,O  II,MKM93
100   P,3134.72,Hf II,MCS75
1000,3135.099,Cm I,WHGC76
300,3135.25,Es I,WLGC74
40,3135.384,Dy II,NG00
1000,3135.48,Na II,W71
150,3136.2161,Th I,PE83
1000,3137.160,Cm I,WHGC76
900,3137.86,Na II,W71
250,3138.335,O  II,MKM93
120,3138.678,Zr II,J98
100,3139.3066,Th II,PE83
90,3139.3870,Pt I,SRSA92
13,3140.936,Yb II,M67
300,3141.332,Ne II,P71
100,3142.8356,Th II,PE83
100,3143.721,Ne II,P71
110,3145.00,Gd II,MCS75
120,3145.403,Nb II,RCL00
500,3145.71,Na II,W71
70,3146.0434,Th II,PE83
300   l,3146.28,Pa II,BW92b
1000,3147.325,Cm I,WHGC76
100,3148.681,Ne II,P71
60   c,3148.90,Rb II,R75
140,3149.240,U  II,BW92b
1000,3149.28,Na II,W71
200,3151.04,Tm II,MCS75
8,3151.64,Re I,MCS75
15,3152.82,Mo II,MCS75
300   s,3153.09,Ac II,MFT57
100   l,3154.27,Es II,WLGC74
70,3154.3009,Th II,PE83
300   s,3154.41,Ac II,MFT57
20*,3155.308,Li II,HM59
20*,3155.330,Li II,HM59
110,3156.25,Os I,MCS75
50,3156.521,Dy II,NG00
110,3156.53,Gd II,MCS75
40,3156.5625,Pt I,SRSA92
200,3156.63,Hf I,MCS75
150,3157.34,Tm II,MCS75
200   P,3158.167,Mo I,WB88
1000,3158.599,Cm I,WHGC76
700   P,3158.869,Ca II,ER56
700,3159.201,Pu II,BFG84
120,3159.82,Hf I,MCS75
13,3161.00,Rb II,R75
40,3161.231,Ti II,HJLW82
110,3161.37,Gd II,MCS75
60,3161.798,Ti II,HJLW82
40   s,3161.826,Am II,FT57
80,3162.586,Ti II,HJLW82
80,3162.61,Hf II,MCS75
30,3162.833,Dy II,NG00
400   P,3163.401,Nb II,RCL00
1000,3163.74,Na II,W71
90,3164.313,Zr II,J98
100,3164.429,Ne II,P71
150   s,3164.81,Ac II,MFT57
100,3165.648,Ne II,P71
150,3165.977,Zr II,J98
40   c,3166.62,Ho II,MCS75
90,3167.2244,Pt II,SRSA92
13,3168.37,Re I,MCS75
200,3168.39,Hf I,MCS75
130,3168.550,Ti II,HJLW82
7,3169.056,Yb II,M67
1000,3169.983,Cm II,WHGC76
50,3169.992,Dy II,NG00
120,3170.29,Ta I,MCS75
300   P,3170.344,Mo I,WB88
300   l,3170.89,Pa II,BW92b
300,3171.36,Lu I,MCS75
300   l,3171.54,Pa II,BW92b
"25   d,l",3171.72,Ho II,MCS75
40,3172.654,Tm I,SMC73
250,3172.83,Tm II,MCS75
400,3172.94,Hf I,MCS75
300,3173.045,Y  II,NJK91
300   P,3173.30,Tc I,BMC67
100,3173.59,Ta I,MCS75
50,3173.78,Ho II,MCS75
25,3173.93,Os II,MCS75
700,3174.488,Pu II,BFG84
25,3174.84,Ho II,MCS75
400   P,3175.035,Sn I,B64
4,3175.147,Te I,MV75
700,3175.152,Pu II,BFG84
100,3175.7257,Th II,PE83
50,3176.86,Hf II,MCS75
1000,3177.554,Cm I,WHGC76
1000   l,3178.466,Bk II,WC78
600,3179.06,Na II,W71
1000,3179.098,Cm I,WHGC76
800   P,3179.332,Ca II,ER56
250   P,3180.1937,Th II,PE83
120,3180.285,Nb II,RCL00
13,3180.70,Cr II,K51
7,3180.919,Yb II,M67
250,3180.95,Ta I,MCS75
700,3181.275,Ca II,ER56
50   c,3181.50,Ho II,MCS75
80,3181.919,Er II,M64b
200   P,3182.37,Tc I,BMC67
150,3182.860,Zr II,J98
11,3182.87,Re I,MCS75
13,3183.033,Mo I,WB88
200   P,3183.11,Tc I,BMC67
250   P,3183.412,V  I,D76
25,3183.84,Ho II,MCS75
400   P,3183.992,V  I,D76
90,3184.55,Ta I,MCS75
20,3184.76,Re I,MCS75
70,3184.9492,Th II,PE83
13,3185.104,Mo I,WB88
300   P,3185.385,V  I,DA78
500,3185.51,Tl II,ES36
20,3185.57,Re I,MCS75
1000,3186.412,Cm I,WHGC76
300,3186.451,Ti I,F91
500,3186.56,Tl II,ES36
110,3187.717,V  II,ICL88
20,3187.74,He I,M60a
500,3187.74,Tl II,ES36
1000,3188.109,Cm I,WHGC76
200,3188.2329,Th II,PE83
140,3188.522,V  II,ICL88
100,3188.743,Ne II,P71
15,3188.97,Si II,S61b
900,3189.79,Na II,W71
200   P,3190.686,V  II,ICL88
80,3190.914,Ti II,HJLW82
50,3191.19,Rh I,MCS75
150,3191.215,Zr I,J98
400,3191.993,Ti I,F91
90,3192.5856,Th I,PE83
20,3192.885,Yb II,M67
15,3193.09,Si II,S61b
50,3193.2258,Fe I,NJLT94
80,3193.2998,Fe I,NJLT94
40,3193.53,Hf II,MCS75
250   P,3193.979,Mo I,WB88
150,3194.10,Cu I,S48
80,3194.19,Hf II,MCS75
120,3194.579,Ne II,P71
9,3194.720,Au I,ED71
200,3194.821,Ce II,C73
300   P,3194.975,Nb II,RCL00
"500   P,c",3195.20,Tc II,BMC67
200,3195.613,Y  II,NJK91
90,3195.6891,Th I,PE83
10,3195.960,Mo I,WB88
100,3196.31,Zn II,CD68
20,3196.330,Li II,HM59
10,3196.356,Li II,HM59
12,3197.08,Cr II,K51
20,3197.13,Rh I,MCS75
25   c,3197.83,Ho II,MCS75
40,3198.012,V  I,DA78
700   P,3198.467,Pu II,BFG84
500   P,3198.586,Ne II,P71
70*,3199.332,Li II,HM59
70*,3199.434,Li II,HM59
120,3199.5087,Pt II,SRSA92
7,3199.514,Si II,S61b
500,3199.915,Ti I,F91
150,3200.269,Y  II,NJK91
40,3200.7097,Pt I,SRSA92
13,3201.160,Yb II,M67
300,3201.712,Ce II,C73
25,3201.76,Ho II,MCS75
60,3202.389,V  I,DA78
60,3202.559,Ti II,HJLW82
15   c,3203.10,He II,GM65
150,3203.320,Y  II,NJK91
30,3203.825,Ti I,F91
20   h,3203.872,Si II,S61b
80,3204.0364,Pt I,SRSA92
20   c,3204.25,Re I,MCS75
11,3205.217,Mo I,WB88
40,3205.577,V  I,DA78
30,3205.887,Mo I,WB88
140,3206.11,Hf I,MCS75
1000,3207.121,Cm II,WHGC76
60,3207.25,W  I,MCS75
40,3207.408,V  I,DA78
1000,3207.708,Cm I,WHGC76
12,3208.169,Hg II,SR01
100   P,3208.838,Mo I,WB88
60,3208.965,Ne II,P71
9,3209.19,Cr II,K51
120,3209.356,Ne II,P71
1000,3209.892,Cm II,WHGC76
1000,3209.943,Cm I,WHGC76
30   h,3210.020,Si II,RA65
1000,3210.050,Cm II,WHGC76
40,3210.566,Eu I,ST76
150,3212.016,Zr I,J98
700   P,3212.02,Tc II,BMC67
40,3212.12,Ir I,MCS75
900,3212.19,Na II,W71
30,3212.432,V  I,DA78
90   P,3212.804,Eu I,ST76
20,3213.31,Os II,MCS75
120,3213.735,Ne II,P71
40,3213.745,Eu I,ST76
130,3214.189,Zr II,J98
